price,metro_time,info_total_area,floor_ratio,firt_floor,last_floor,rooms_1,rooms_2,rooms_3,rooms_4,rooms_студия,rent_jkh_включена (без счётчиков),rent_jkh_включена (счётчики включены),rent_prepayment_1 месяц,rent_prepayment_2 месяца,rent_prepayment_3 месяца,rent_term_несколько месяцев,rent_term_от года,rent_living_conditions_можно с детьми,rent_living_conditions_можно с детьми и животными,rent_living_conditions_можно с животными,"rent_living_conditions_ни с детьми, ни с животными",year_built_interval_1890-1917,year_built_interval_1917-1945,year_built_interval_1945-1970,year_built_interval_1970-1990,year_built_interval_1991-2025,year_built_interval_не попал,log_distance
100000,14.0,78.0,0.5,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.9198365766611254
35000,8.0,48.0,1.0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2.5064225588908844
39000,16.0,35.0,0.2352941176470588,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3.4689643464420734
260000,5.0,56.3,0.7,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2.0126869001779033
240000,14.0,89.0,0.5333333333333333,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.728763601836939
40000,11.0,31.5,0.2,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2.2838008910480556
45000,5.0,35.0,0.7777777777777778,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2.52393204687469
105000,14.0,33.0,0.0833333333333333,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1.7423678762259103
110000,14.0,51.0,0.3478260869565217,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.6978457020526032
37000,8.0,11.0,0.5555555555555556,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2.6719647577360597
114000,10.0,50.0,0.5555555555555556,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2.350135808084658
33000,6.0,25.0,0.1578947368421052,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3.0032921729383393
125000,6.0,53.4,0.5555555555555556,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-0.07243920552396604
46000,7.0,25.0,0.303030303030303,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2.6719647577360597
130000,2.0,40.0,0.8333333333333334,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1.728763601836939
55000,4.0,44.0,0.4,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2.5122968983492995
48000,3.0,32.5,0.8888888888888888,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.6634628457176075
140000,9.0,39.0,0.9,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2.0685889550222756
140000,12.0,60.0,0.6428571428571429,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1.6978457020526032
33990,6.0,15.0,0.6666666666666666,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,3.495284054860621
44000,7.0,30.6,0.4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2.4521769266549103
135000,4.0,53.0,0.9230769230769232,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2.2304372380366257
135000,17.0,53.0,0.064516129032258,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2.194882125758077
135000,9.0,58.0,0.4666666666666667,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1.6978457020526032
70000,4.0,27.0,0.6,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1.977372672394821
85000,5.0,34.5,0.3181818181818182,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2.5785146025168886
48000,4.0,33.0,0.6666666666666666,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2.3844482958101305
96000,4.0,36.35,0.3529411764705882,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2.585054614142134
57000,6.0,20.0,0.6,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2.1415583267450655
60000,6.0,44.9,0.4444444444444444,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3.29521873384218
229000,8.0,64.6,0.2142857142857142,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2.2304372380366257
40000,7.0,34.0,0.5,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2.928252454516363
60000,4.0,30.0,0.7916666666666666,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2.319695492643882
160000,12.0,80.0,0.6,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.9613596341410668
33000,4.0,28.0,1.0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2.899823112021186
80000,6.0,41.0,0.75,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1.9613596341410668
