district,area,price,rooms,metro_time,info_total_area,rent_jkh,rent_prepayment,rent_term,rent_living_conditions,floor_ratio,last_floor,year_built_interval
САО,р-н Аэропорт,160000,3,12.0,80.0,включена (без счётчиков),1 месяц,от года,можно с детьми и животными,0.6,0,не попал
ЗАО,р-н Солнцево,33000,1,4.0,28.0,включена (счётчики включены),1 месяц,несколько месяцев,"ни с детьми, ни с животными",1.0,1,не попал
САО,р-н Аэропорт,80000,2,6.0,41.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.75,0,1970-1990
НАО (Новомосковский),Марушкинское поселение,35000,студия,8.0,30.0,включена (счётчики включены),1 месяц,несколько месяцев,можно с детьми и животными,1.0,1,1991-2025
САО,р-н Коптево,95000,3,15.0,82.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.4,0,1917-1945
САО,р-н Савеловский,160000,студия,8.0,52.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.1111111111111111,0,1991-2025
НАО (Новомосковский),Десеновское поселение,34000,1,15.0,37.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.11764705882352941,0,1991-2025
ЦАО,р-н Пресненский,750000,3,3.0,222.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.5066666666666667,0,1991-2025
ЮВАО,р-н Выхино-Жулебино,37000,1,10.0,39.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.29411764705882354,0,1991-2025
СЗАО,р-н Хорошево-Мневники,94000,2,14.0,53.0,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.2,0,1991-2025
НАО (Новомосковский),Десеновское поселение,45000,2,15.0,51.2,включена (счётчики включены),1 месяц,от года,можно с детьми,0.11764705882352941,0,1991-2025
ЮВАО,р-н Нижегородский,80000,2,12.0,36.0,включена (счётчики включены),1 месяц,от года,можно с детьми,0.42424242424242425,0,1991-2025
ЮЗАО,р-н Академический,239000,3,9.0,108.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.8378378378378378,0,1991-2025
ЮЗАО,р-н Южное Бутово,40000,2,4.0,61.0,включена (без счётчиков),1 месяц,от года,можно с детьми,0.29411764705882354,0,1991-2025
СВАО,р-н Бабушкинский,80000,2,6.0,54.4,включена (без счётчиков),1 месяц,от года,"ни с детьми, ни с животными",0.4166666666666667,0,не попал
ЗелАО,р-н Крюково,29500,студия,6.0,21.0,включена (счётчики включены),1 месяц,от года,можно с детьми и животными,0.8,0,1991-2025
ЮВАО,р-н Некрасовка,40000,1,6.0,39.0,включена (без счётчиков),1 месяц,несколько месяцев,"ни с детьми, ни с животными",0.631578947368421,0,1991-2025
